name,time,value
humidity,1657995922452520600,50
humidity,1657995931700804841,50
humidity,1657995940972017276,50
humidity,1657995950227492332,50
humidity,1657995959493364915,50
humidity,1657995968773653998,50
humidity,1657995978046405601,50
humidity,1657995987299427413,49
humidity,1657995996561022001,50
humidity,1657996005819373477,50
humidity,1657996015098801956,50
humidity,1657996024343697672,50
humidity,1657996033603188368,49
humidity,1657996042867743211,51
humidity,1657996052127702778,50
humidity,1657996061393973014,50
humidity,1657996070665872025,50
humidity,1657996079933579688,50
humidity,1657996089203989098,50
humidity,1657996098476659980,49
humidity,1657996107744214676,49
humidity,1657996117010973352,49
humidity,1657996126296750083,49
humidity,1657996135572103381,50
humidity,1657996144851162499,50
humidity,1657996154107301754,51
humidity,1657996163364280525,50
humidity,1657996172621256210,50
humidity,1657996181889105909,50
humidity,1657996191143375728,50
humidity,1657996200413517120,50
humidity,1657996209679018195,50
humidity,1657996218941430577,50
humidity,1657996228222687217,50
humidity,1657996237497454920,50
humidity,1657996246754558193,50
humidity,1657996256026562571,50
humidity,1657996265296135935,50
humidity,1657996274556676265,50
humidity,1657996283802824671,50
humidity,1657996293081801623,50
humidity,1657996302360317489,51
humidity,1657996311646799465,50
humidity,1657996320919114939,50
humidity,1657996330175784690,50
humidity,1657996339421504104,50
humidity,1657996348680041199,50
humidity,1657996357941934893,50
humidity,1657996367211551366,50
humidity,1657996376475153936,50
humidity,1657996385734019213,50
humidity,1657996394998508475,50
humidity,1657996404277703587,50
humidity,1657996413531068476,50
humidity,1657996422801290593,50
humidity,1657996432080208069,50
humidity,1657996441349023358,50
humidity,1657996450620592888,50
humidity,1657996459873218633,50
humidity,1657996469146951978,50
humidity,1657996478413375261,50
humidity,1657996487660864801,50
humidity,1657996496924683720,50
humidity,1657996506203407825,50
humidity,1657996515472299570,50
humidity,1657996524736557638,50
humidity,1657996533990336552,50
humidity,1657996543250581364,50
humidity,1657996552512560446,50
humidity,1657996561763013996,50
humidity,1657996571029592578,50
humidity,1657996580322632522,50
humidity,1657996589578676297,50
humidity,1657996598844344568,50
humidity,1657996608101828967,50
humidity,1657996617366188153,50
humidity,1657996626649800632,50
humidity,1657996635906109565,50
humidity,1657996645186065792,50
humidity,1657996654450939008,50
humidity,1657996663721921073,50
humidity,1657996672966999963,50
humidity,1657996682243871869,50
humidity,1657996691512543265,50
humidity,1657996700769187271,50
humidity,1657996710038417550,50
humidity,1657996719304478508,50
humidity,1657996728570863328,50
humidity,1657996737861881010,50
humidity,1657996747124150862,50
